"year","player_id","total_points","total_won"
2001,201309,NA,NA
2001,201310,NA,NA
2001,201311,NA,NA
2001,201315,NA,NA
2001,201318,NA,NA
2001,201320,NA,NA
2001,201325,NA,NA
2001,201328,NA,NA
2001,201334,NA,NA
2001,201346,NA,NA
2001,201347,NA,NA
2001,201360,NA,NA
2001,201363,NA,NA
2001,201365,NA,NA
2001,201370,NA,NA
2001,201377,NA,NA
2001,201383,NA,NA
2001,201387,NA,NA
2001,201397,NA,NA
2001,201401,NA,NA
2001,201419,NA,NA
2001,201444,NA,NA
2001,201454,NA,NA
2001,201462,NA,NA
2001,201464,NA,NA
2001,201466,NA,NA
2001,201478,NA,NA
2001,201605,NA,NA
2002,101736,9996,5400
2002,101868,1259,594
2002,101885,7931,3969
2002,101962,10790,5500
2002,101965,7797,3946
2002,102035,6359,3203
2002,102106,6854,3392
2002,102110,159,75
2002,102143,1111,538
2002,102148,8795,4443
2002,102179,5547,2687
2002,102202,4893,2438
2002,102227,5096,2474
2002,102231,1911,909
2002,102233,186,89
2002,102257,7826,4047
2002,102269,174,85
2002,102271,4652,2284
2002,102286,177,82
2002,102287,4975,2356
2002,102300,427,209
2002,102306,3229,1567
2002,102318,9939,5123
2002,102344,5116,2547
2002,102358,6395,3269
2002,102374,8530,4458
2002,102382,2585,1194
2002,102401,1142,545
2002,102434,5331,2630
2002,102450,9715,5043
2002,102456,6845,3373
2002,102494,856,419
2002,102497,317,152
2002,102538,578,271
2002,102539,6453,3146
2002,102548,1383,656
2002,102558,236,99
2002,102562,10831,5663
2002,102563,7766,3935
2002,102565,1882,916
2002,102567,1905,904
2002,102571,1263,629
2002,102585,263,116
2002,102610,9559,4877
2002,102615,92,31
2002,102642,1643,813
2002,102694,5326,2638
2002,102703,4114,2050
2002,102730,3085,1450
2002,102770,1504,746
2002,102780,111,48
2002,102783,10249,5264
2002,102785,155,77
2002,102788,5391,2597
2002,102800,NA,NA
2002,102811,NA,NA
2002,102821,3826,1864
2002,102834,669,314
2002,102839,10314,5210
2002,102845,12412,6409
2002,102851,499,233
2002,102854,10272,5229
