"player_id","year","second_return","second_won"
103248,"2004",131,69
103248,"2000",534,209
103248,"1998",NA,NA
103248,"2006",55,17
103248,"2005",NA,NA
103248,"2008",NA,NA
103248,"2001",668,267
103250,"2007",17,4
103250,"1999",74,30
103250,"2000",62,26
103250,"2003",64,26
103250,"2002",31,16
103252,"1998",205,76
103252,"2001",1791,838
103252,"2007",408,178
103252,"1999",592,231
103252,"2004",1424,633
103252,"2009",662,295
103252,"2010",203,85
103252,"2000",NA,NA
103252,"2008",201,90
103252,"2005",1242,580
103252,"2003",428,209
103252,"2006",1037,501
103252,"1996",116,53
103252,"1997",238,124
103252,"2002",748,407
103254,"2004",14,4
103254,"2005",18,6
103254,"2002",113,42
103254,"2003",60,26
103254,"2008",NA,NA
103254,"2007",61,19
103254,"2001",36,19
103264,"1998",975,431
103264,"2001",349,136
103264,"2003",462,204
103264,"2000",541,206
103264,"1999",NA,NA
103264,"1997",56,23
103264,"2005",NA,NA
103264,"2004",14,1
103264,"2002",167,71
103280,"2000",30,18
103280,"2004",NA,NA
103280,"2002",NA,NA
103280,"2001",33,15
103280,"1998",42,20
103280,"2007",165,59
103280,"2008",90,34
103280,"2003",NA,NA
103285,"2007",NA,NA
103285,"2005",2106,923
103285,"2004",NA,NA
103285,"2015",464,211
103285,"2017",117,49
103285,"2009",NA,NA
103285,"2001",80,30
103285,"1998",27,8
103285,"1999",131,54
103285,"2014",NA,NA
103285,"2012",NA,NA
103285,"2016",318,165
103285,"2010",NA,NA
103285,"2011",591,234
103285,"2008",NA,NA
103285,"2006",1309,558
103285,"2003",838,403
103285,"2013",NA,NA
103285,"2002",834,375
103290,"2001",27,9
103290,"2005",33,11
103292,"2009",184,81
103292,"1999",397,185
103292,"2003",NA,NA
103292,"2002",NA,NA
103292,"2000",729,397
103292,"2008",27,14
103292,"2004",1979,958
103292,"2001",865,369
103292,"2007",250,137
103292,"2006",814,425
103292,"2010",29,11
103292,"2005",682,306
103294,"2006",1017,496
103294,"2000",NA,NA
103294,"2007",254,105
103294,"2003",NA,NA
103294,"2010",NA,NA
103294,"2004",501,205
103294,"2005",491,282
103294,"2002",913,415
103294,"2008",252,121
103294,"1999",26,17
103294,"2009",NA,NA
103294,"2001",466,257
103305,"2004",247,112
103305,"2002",47,24
103305,"1997",57,24
103305,"2000",235,102
103305,"2005",50,21
103305,"2001",334,147
103318,"1997",27,13
103318,"2002",417,193
103318,"2004",29,19
103318,"1999",NA,NA
103318,"2005",36,22
103318,"2003",411,169
103318,"1998",NA,NA
103319,"2006",170,70
103319,"2003",385,161
103319,"2000",10,4
103319,"2005",71,29
103319,"1999",61,22
103319,"2002",289,139
103319,"2001",21,9
103319,"2004",669,255
103333,"2016",1565,505
103333,"2005",460,161
103333,"2007",649,223
103333,"2009",NA,NA
103333,"2015",1799,608
103333,"2001",39,13
103333,"2014",1536,510
103333,"2008",NA,NA
103333,"2017",940,317
103333,"2018",981,314
103333,"2003",477,149
103333,"2019",582,158
103333,"2021",145,41
103333,"2011",519,200
103333,"2012",NA,NA
103333,"2002",NA,NA
103333,"2006",421,130
103333,"2000",NA,NA
103333,"2013",759,254
103333,"2020",125,42
103333,"2010",183,59
103333,"2004",NA,NA
103339,"2007",59,19
103339,"1998",29,13
103339,"2004",32,12
103339,"2006",157,73
103344,"2010",795,372
103344,"2003",NA,NA
103344,"2004",NA,NA
103344,"2009",1429,609
103344,"2005",NA,NA
103344,"2012",237,96
103344,"2001",NA,NA
103344,"2006",613,233
103344,"1999",331,160
103344,"2008",501,220
103344,"1998",NA,NA
103344,"2007",NA,NA
103344,"1997",137,58
103344,"1996",30,17
103344,"2011",1188,499
103344,"2002",NA,NA
103344,"2000",NA,NA
103356,"2003",NA,NA
103356,"2000",342,144
103356,"2007",30,11
103356,"2004",166,69
103356,"2001",755,399
103356,"2002",NA,NA
103369,"2006",44,24
103369,"2005",37,24
103369,"2004",81,30
103373,"2005",29,16
103373,"2006",245,123
103373,"2000",72,33
103373,"2008",670,315
103373,"2009",166,56
103373,"2007",NA,NA
103373,"2003",132,63
103385,"2005",56,14
103385,"2000",35,15
103385,"2003",118,37
