"player_id","year","returns","returns_won"
104593,"2011",2691,992
104593,"2018",NA,NA
104593,"2005",NA,NA
104593,"2014",2282,821
104593,"2006",411,142
104593,"2010",3199,1086
104593,"2004",NA,NA
104593,"2013",3275,1190
104593,"2017",NA,NA
104593,"2008",981,374
104628,"2014",273,89
104628,"2013",111,41
104628,"2010",NA,NA
104628,"2016",NA,NA
104628,"2012",NA,NA
104628,"2011",99,35
104628,"2015",NA,NA
104628,"2007",193,68
104628,"2008",454,149
104629,"2015",432,133
104629,"2012",NA,NA
104629,"2018",451,157
104629,"2013",NA,NA
104629,"2019",277,101
104629,"2017",491,171
104633,"2011",144,54
104651,"2014",228,64
104651,"2013",1226,446
104665,"2014",NA,NA
104665,"2018",1107,462
104665,"2023",NA,NA
104665,"2016",602,220
104665,"2019",NA,NA
104665,"2008",824,331
104665,"2015",NA,NA
104665,"2020",1291,495
104665,"2021",NA,NA
104665,"2012",3978,1586
104665,"2013",3726,1416
104665,"2007",408,167
104665,"2009",1012,366
104665,"2011",3570,1399
104665,"2010",1313,520
104665,"2022",1602,627
104672,"2018",135,51
104672,"2009",NA,NA
104672,"2011",NA,NA
104672,"2016",505,190
104672,"2017",613,228
104672,"2014",307,120
104672,"2012",110,38
104672,"2015",NA,NA
104714,"2012",185,65
104714,"2010",933,330
104714,"2006",NA,NA
104714,"2015",249,100
104714,"2011",720,261
104714,"2007",NA,NA
104714,"2013",903,328
104714,"2014",920,347
104717,"2004",NA,NA
104717,"2005",NA,NA
104717,"2009",566,189
104717,"2010",310,99
104717,"2008",524,161
104719,"2007",294,115
104719,"2006",NA,NA
104719,"2008",2491,903
104719,"2017",1652,582
104719,"2014",3615,1341
104719,"2015",2442,882
104719,"2019",1466,527
104719,"2011",3667,1408
104719,"2016",NA,NA
104719,"2018",654,226
104719,"2013",NA,NA
104719,"2010",3301,1302
104719,"2009",3233,1231
104719,"2012",NA,NA
104721,"2010",625,189
104721,"2013",NA,NA
104721,"2009",854,276
104721,"2008",475,134
104731,"2016",2983,966
104731,"2009",599,174
104731,"2012",NA,NA
104731,"2022",479,115
104731,"2015",5992,2032
104731,"2007",NA,NA
104731,"2013",5040,1797
104731,"2014",NA,NA
104731,"2018",NA,NA
104731,"2020",1678,552
104731,"2019",1056,378
104731,"2008",NA,NA
104731,"2017",4553,1589
104731,"2011",NA,NA
104731,"2010",2656,895
104731,"2021",2209,688
104731,"2023",300,111
104735,"2013",NA,NA
104735,"2010",1224,482
104735,"2008",NA,NA
104735,"2019",NA,NA
104735,"2016",676,267
104735,"2007",NA,NA
104735,"2017",311,121
104735,"2011",2733,1052
104735,"2014",NA,NA
104735,"2015",488,180
104735,"2012",2051,844
104812,"2009",149,55
104812,"2005",537,180
104812,"2007",332,106
104812,"2008",NA,NA
104812,"2006",381,130
104812,"2004",NA,NA
104851,"2013",NA,NA
104851,"2006",48,16
104851,"2008",660,236
104851,"2011",166,55
104851,"2005",NA,NA
104871,"2017",NA,NA
104871,"2012",3490,1280
104871,"2019",4352,1513
104871,"2023",360,119
104871,"2016",3144,1180
104871,"2013",4274,1526
104871,"2015",4465,1583
104871,"2008",1852,615
104871,"2020",637,228
104871,"2010",3999,1432
104871,"2006",337,141
104871,"2007",NA,NA
104871,"2009",NA,NA
104871,"2014",4699,1678
104871,"2011",NA,NA
104871,"2018",4097,1401
104871,"2021",NA,NA
104897,"2015",571,205
104897,"2007",194,67
104897,"2014",496,170
104897,"2013",440,144
104897,"2008",NA,NA
104897,"2021",NA,NA
104897,"2012",2113,752
104897,"2016",NA,NA
104897,"2018",720,261
104897,"2011",1104,391
104897,"2019",576,208
104897,"2010",286,108
104932,"2015",1152,357
104932,"2014",1816,516
104932,"2018",NA,NA
104932,"2016",527,177
104932,"2017",678,266
104932,"2013",NA,NA
104932,"2011",NA,NA
104932,"2012",390,104
104948,"2010",126,37
104976,"2011",2485,939
104976,"2009",687,260
104976,"2005",NA,NA
104976,"2007",485,167
104976,"2012",1440,496
104976,"2013",NA,NA
104976,"2006",318,109
104976,"2008",234,83
104976,"2010",1058,397
104978,"2010",2331,709
104978,"2007",133,31
104978,"2011",1076,308
104978,"2017",371,113
104978,"2019",159,57
104978,"2015",215,80
104978,"2013",NA,NA
104978,"2012",1325,423
104978,"2018",NA,NA
104978,"2009",1036,357
104978,"2008",353,110
104978,"2014",NA,NA
104978,"2016",577,195
104999,"2015",1273,441
104999,"2013",682,253
104999,"2017",4996,1733
104999,"2021",NA,NA
104999,"2011",1433,486
104999,"2010",NA,NA
104999,"2016",1971,749
104999,"2012",NA,NA
104999,"2018",3726,1371
104999,"2006",479,156
104999,"2008",NA,NA
104999,"2007",1261,482
104999,"2019",925,269
104999,"2009",3098,1155
104999,"2020",173,56
105023,"2006",1334,446
105023,"2016",4243,1409
105023,"2009",NA,NA
105023,"2022",1061,315
105023,"2011",2238,792
105023,"2018",4010,1363
105023,"2013",NA,NA
105023,"2010",NA,NA
105023,"2017",NA,NA
105023,"2007",3334,1122
105023,"2014",NA,NA
105023,"2012",NA,NA
105023,"2008",NA,NA
105023,"2019",3338,1120
105023,"2021",NA,NA
105023,"2020",863,272
105023,"2015",3527,1171
105028,"2013",1575,559
105028,"2008",NA,NA
105028,"2010",400,138
105028,"2011",NA,NA
105028,"2006",NA,NA
105028,"2007",268,96
105028,"2012",1928,693
105028,"2009",1251,473
105032,"2015",NA,NA
105032,"2016",1461,440
105032,"2008",168,56
105032,"2009",239,71
105032,"2014",NA,NA
105032,"2013",560,177
105032,"2017",539,149
105051,"2016",NA,NA
105051,"2012",NA,NA
105051,"2013",NA,NA
105051,"2024",NA,NA
105051,"2017",1202,469
105051,"2021",738,271
105051,"2019",1635,582
105051,"2010",189,57
105051,"2014",1702,567
105051,"2022",NA,NA
105051,"2011",1398,509
105051,"2015",627,205
105051,"2018",3234,1148
105065,"2017",630,221
105065,"2015",1333,455
105065,"2014",1284,451
105065,"2010",379,136
105065,"2012",748,282
105065,"2016",1495,549
105065,"2018",1469,536
105065,"2013",1821,696
105065,"2011",772,293
105065,"2008",NA,NA
105065,"2019",248,75
105077,"2017",5719,2158
105077,"2018",3920,1360
105077,"2021",4129,1601
105077,"2011",2346,897
105077,"2016",5367,2052
105077,"2012",NA,NA
105077,"2020",1929,721
105077,"2023",3184,1168
105077,"2024",770,262
105077,"2022",NA,NA
105077,"2015",2901,1030
105077,"2010",448,170
105077,"2019",3729,1406
105077,"2013",NA,NA
105077,"2014",2383,898
105113,"2017",258,88
105113,"2012",122,45
105113,"2014",NA,NA
105128,"2011",161,59
105128,"2013",190,60
105137,"2007",131,47
105137,"2015",NA,NA
105137,"2016",NA,NA
105137,"2010",1613,591
105137,"2012",549,183
105137,"2013",NA,NA
105137,"2011",2186,764
105137,"2009",378,145
105137,"2014",NA,NA
105154,"2010",349,128
105154,"2014",319,121
105154,"2017",264,78
105154,"2015",NA,NA
105154,"2016",195,53
105154,"2013",293,78
105154,"2011",1115,416
105154,"2012",NA,NA
105173,"2015",NA,NA
105173,"2014",3021,1148
105173,"2023",NA,NA
105173,"2022",NA,NA
105173,"2020",2533,965
105173,"2016",4140,1559
105173,"2008",397,137
105173,"2011",3100,1122
105173,"2019",3820,1447
105173,"2021",2897,982
105173,"2024",NA,NA
105173,"2010",534,177
105173,"2018",4565,1621
105173,"2017",4692,1833
105173,"2013",2053,709
105173,"2009",NA,NA
105173,"2012",509,167
105181,"2017",191,59
105332,"2014",2436,874
105332,"2016",4597,1742
105332,"2010",575,197
105332,"2024",449,174
105332,"2023",NA,NA
105332,"2018",4842,1853
105332,"2013",4705,1811
105332,"2019",5014,1880
105332,"2011",1247,468
105332,"2012",4683,1856
105332,"2020",2045,759
105332,"2021",3258,1193
105332,"2017",4651,1770
105332,"2015",3439,1335
105332,"2022",2148,748
105357,"2016",3361,1253
105357,"2019",3653,1332
105357,"2010",NA,NA
105357,"2011",NA,NA
105357,"2022",2024,682
105357,"2023",414,141
105357,"2015",1114,386
105357,"2012",205,77
105357,"2018",3360,1297
105357,"2017",880,326
105357,"2020",2789,1066
105357,"2013",339,131
