"","player_id","year","bp","bp_converted"
"1568",102863,"2000",5,3
"1569",102863,"2008",NA,NA
"1570",102863,"2003",NA,NA
"1571",102863,"2004",NA,NA
"1572",102863,"1996",NA,NA
"1575",102864,"2006",5,1
"1580",102869,"1996",NA,NA
"1601",102880,"2002",45,23
"1603",102880,"2005",35,14
"1607",102880,"2001",59,13
"1610",102880,"2000",61,20
"1611",102880,"2002",78,34
"1630",102882,"1997",NA,NA
"1646",102886,"2005",18,8
"1657",102887,"2005",14,2
"1659",102887,"2000",31,12
"1662",102887,"2007",NA,NA
"1669",102887,"1997",NA,NA
"1672",102887,"2010",15,4
"1677",102887,"2002",NA,NA
"1687",102904,"2001",18,2
"1692",102905,"1996",11,7
"1696",102905,"2008",NA,NA
"1702",102905,"2004",NA,NA
"1705",102905,"2000",NA,NA
"1707",102905,"2003",NA,NA
"1708",102925,"2000",102,28
"1710",102925,"2001",32,15
"1727",102925,"2005",45,24
"1728",102925,"1997",112,39
"1738",102945,"2005",4,0
"1739",102945,"2007",4,1
"1740",102950,"2002",173,53
"1741",102950,"2006",41,18
"1742",102950,"1997",102,41
"1743",102950,"2004",32,14
"1744",102950,"2004",25,8
"1747",102950,"2000",NA,NA
"1748",102950,"1996",33,18
"1749",102950,"2007",12,2
"1751",102950,"2006",118,37
"1752",102950,"2002",205,98
"1753",102950,"1997",NA,NA
"1754",102950,"2009",1,0
"1755",102950,"2003",134,70
"1756",102950,"2008",14,4
"1757",102950,"2005",53,16
"1758",102950,"1998",NA,NA
"1759",102950,"1999",255,117
"1760",102950,"2003",135,45
"1761",102950,"2001",165,56
"1762",102950,"1996",24,5
"1763",102950,"2001",194,104
"1764",102956,"2004",4,2
"1765",102956,"1999",NA,NA
"1766",102956,"2002",4,1
"1767",102956,"2001",2,0
"1768",102956,"1998",NA,NA
"1769",102956,"1996",8,1
"1770",102956,"2006",0,0
"1771",102956,"2000",7,3
"1772",102956,"1998",0,0
"1773",102956,"1995",NA,NA
"1774",102956,"2007",6,3
"1776",102959,"2000",NA,NA
"1777",102959,"2002",NA,NA
"1778",102959,"2003",NA,NA
"1779",102959,"1999",NA,NA
"1780",102959,"2006",NA,NA
"1781",102959,"2001",NA,NA
"1783",102959,"2008",NA,NA
"1784",102959,"1998",NA,NA
"1785",102959,"2005",NA,NA
"1786",102963,"2011",NA,NA
"1787",102963,"1999",3,0
"1788",102963,"2007",NA,NA
"1789",102965,"1999",8,2
"1790",102965,"2004",8,1
"1791",102965,"2000",31,16
"1793",102965,"1997",NA,NA
"1794",102965,"2004",9,2
"1796",102965,"2000",NA,NA
"1797",102965,"2001",34,5
"1798",102965,"2006",NA,NA
"1799",102965,"2005",8,4
"1800",102965,"2006",14,5
"1801",102965,"2005",14,2
"1803",102965,"1999",17,7
"1804",102967,"2011",10,4
"1805",102967,"2007",150,70
"1806",102967,"2004",8,4
"1807",102967,"2014",7,2
"1808",102967,"2010",37,19
"1809",102967,"2013",17,6
"1810",102967,"2008",118,39
"1811",102967,"2014",12,6
"1813",102967,"2002",2,2
"1814",102967,"2002",1,0
"1815",102967,"2012",10,4
"1816",102967,"2009",180,80
"1817",102967,"2009",126,34
"1818",102967,"2010",50,16
"1819",102967,"2008",148,76
"1821",102967,"2007",118,33
"1822",102967,"2006",59,13
"1824",102967,"2005",26,12
"1831",102985,"2004",7,4
"1837",102987,"1997",NA,NA
"1842",102987,"2001",85,35
"1843",102987,"2003",NA,NA
"1845",102987,"2007",3,1
"1852",102998,"1999",97,37
"1872",102999,"2008",10,4
"1873",102999,"2010",7,1
"1874",102999,"2002",NA,NA
"1876",102999,"2001",7,4
"1879",102999,"2006",61,26
"1885",103007,"2000",11,5
"1892",103007,"2007",NA,NA
"1893",103007,"1999",NA,NA
"1897",103007,"1999",4,3
"1898",103007,"1998",NA,NA
"1899",103009,"1996",13,7
"1901",103009,"1997",9,4
"1902",103009,"2003",NA,NA
