"","player_id","year","matches_won","total_matches"
"822",102358,"1989",0,1
"823",102358,"1994",23,42
"824",102358,"1991",3,9
"825",102358,"1997",39,62
"826",102358,"1990",0,1
"827",102358,"1998",36,51
"828",102358,"1996",58,88
"829",102358,"1993",18,41
"830",102358,"1995",63,87
"831",102358,"1999",48,76
"832",102358,"1992",14,22
"833",102358,"2002",26,44
"834",102358,"2000",51,75
"835",102369,"1999",1,6
"836",102369,"2003",8,14
"837",102369,"2002",16,41
"838",102369,"1998",1,3
"839",102369,"2001",25,51
"840",102369,"2004",1,5
"841",102369,"2000",10,26
"842",102374,"2001",34,54
"843",102374,"2002",39,58
"844",102374,"1999",37,60
"845",102374,"2003",14,37
"846",102374,"1996",37,63
"847",102374,"1997",49,72
"848",102374,"1992",11,24
"849",102374,"1998",57,78
"850",102374,"2005",1,6
"851",102374,"1993",24,47
"852",102374,"1995",25,52
"853",102374,"2004",12,32
"854",102374,"2000",55,74
"855",102374,"1994",44,66
"856",102381,"2007",8,23
"857",102381,"2004",1,3
"858",102381,"2006",0,1
"859",102381,"2000",1,3
"860",102381,"1997",0,1
"861",102381,"2001",2,5
"862",102381,"2008",0,10
"863",102381,"1999",0,1
"864",102381,"2003",3,9
"865",102382,"2002",3,17
"866",102382,"2001",2,5
"867",102382,"1994",0,1
"868",102382,"2005",0,1
"869",102382,"2012",0,1
"870",102382,"1992",0,1
"871",102382,"2003",2,7
"872",102382,"2004",3,9
"873",102382,"1993",0,1
"874",102388,"2011",0,1
"875",102388,"2007",0,1
"876",102401,"1998",23,40
"877",102401,"2002",2,9
"878",102401,"1995",13,26
"879",102401,"1997",19,38
"880",102401,"1996",22,47
"881",102401,"2001",3,10
"882",102401,"1999",11,28
"883",102401,"2000",2,7
"884",102401,"2003",13,28
"885",102401,"2005",0,4
"886",102405,"1995",3,7
"887",102405,"1998",2,7
"888",102405,"1999",0,3
"889",102405,"2001",0,3
"890",102405,"1996",3,6
"891",102405,"2000",0,1
"892",102405,"1997",2,10
"893",102405,"2008",0,1
"894",102422,"1999",1,4
"895",102422,"2000",1,3
"896",102434,"2006",19,45
"897",102434,"2004",40,69
"898",102434,"2007",26,55
"899",102434,"2001",1,4
"900",102434,"1999",33,60
"901",102434,"1995",21,49
"902",102434,"1993",1,6
"903",102434,"2002",14,32
"904",102434,"2009",2,11
"905",102434,"1998",28,55
"906",102434,"2010",0,1
"907",102434,"2000",3,31
"908",102434,"2005",22,48
"909",102434,"2008",11,29
"910",102434,"1994",11,24
"911",102434,"1997",20,46
"912",102434,"2003",33,57
"913",102434,"1996",27,49
"914",102450,"1999",44,73
"915",102450,"2001",56,76
"916",102450,"1996",46,72
"917",102450,"2003",31,48
"918",102450,"1994",3,8
"919",102450,"1995",9,18
"920",102450,"1997",44,67
"921",102450,"2004",44,66
"922",102450,"1998",59,88
"923",102450,"2002",45,65
"924",102450,"2007",7,19
"925",102450,"2005",23,41
"926",102450,"2000",58,83
"927",102450,"2006",31,51
"928",102456,"2007",1,4
"929",102456,"2004",17,32
"930",102456,"2000",16,32
"931",102456,"1997",53,75
"932",102456,"2003",27,48
"933",102456,"1995",10,15
"934",102456,"2002",22,47
"935",102456,"1999",34,55
"936",102456,"1998",43,69
"937",102456,"2005",14,29
"938",102456,"1994",0,1
"939",102456,"2001",30,51
"940",102456,"1996",48,75
"941",102458,"2001",0,1
"942",102458,"2000",0,1
"943",102458,"1999",0,1
"944",102463,"1996",3,5
"945",102463,"1997",7,13
"946",102463,"2004",0,1
"947",102463,"1998",11,27
